Date,InstrumentID,Yield,Open,High,Low,Change %
30/09/2025,BTPS10Y,3.559,3.565,3.582,3.55,-0.04%
29/09/2025,BTPS10Y,3.56,3.589,3.594,3.56,-1.32%
26/09/2025,BTPS10Y,3.608,3.627,3.646,3.591,-0.89%
25/09/2025,BTPS10Y,3.64,3.609,3.65,3.592,1.30%
24/09/2025,BTPS10Y,3.593,3.572,3.603,3.565,0.56%
23/09/2025,BTPS10Y,3.573,3.559,3.584,3.554,-0.03%
22/09/2025,BTPS10Y,3.574,3.568,3.577,3.552,0.20%
19/09/2025,BTPS10Y,3.567,3.559,3.573,3.553,0.47%
18/09/2025,BTPS10Y,3.55,3.488,3.554,3.485,1.49%
17/09/2025,BTPS10Y,3.498,3.5,3.517,3.489,-0.34%
16/09/2025,BTPS10Y,3.51,3.497,3.528,3.489,0.13%
15/09/2025,BTPS10Y,3.506,3.543,3.543,3.503,-1.18%
12/09/2025,BTPS10Y,3.547,3.494,3.552,3.488,1.90%
11/09/2025,BTPS10Y,3.481,3.505,3.523,3.466,-0.34%
10/09/2025,BTPS10Y,3.493,3.499,3.518,3.49,-0.50%
09/09/2025,BTPS10Y,3.511,3.509,3.521,3.5,0.35%
08/09/2025,BTPS10Y,3.498,3.533,3.533,3.493,-0.93%
05/09/2025,BTPS10Y,3.531,3.572,3.591,3.51,-2.01%
04/09/2025,BTPS10Y,3.603,3.632,3.637,3.589,-0.98%
03/09/2025,BTPS10Y,3.639,3.697,3.716,3.638,-1.93%
02/09/2025,BTPS10Y,3.711,3.667,3.716,3.667,2.05%
01/09/2025,BTPS10Y,3.636,3.639,3.651,3.615,0.58%
29/08/2025,BTPS10Y,3.615,3.575,3.618,3.573,1.47%
28/08/2025,BTPS10Y,3.563,3.579,3.622,3.559,-1.22%
27/08/2025,BTPS10Y,3.607,3.593,3.626,3.566,0.59%
26/08/2025,BTPS10Y,3.586,3.604,3.631,3.582,-0.92%
25/08/2025,BTPS10Y,3.619,3.574,3.632,3.574,1.93%
22/08/2025,BTPS10Y,3.55,3.611,3.627,3.549,-1.61%
21/08/2025,BTPS10Y,3.608,3.542,3.614,3.542,1.60%
20/08/2025,BTPS10Y,3.552,3.577,3.584,3.55,-0.92%
19/08/2025,BTPS10Y,3.585,3.598,3.61,3.575,-0.16%
18/08/2025,BTPS10Y,3.59,3.606,3.606,3.555,-0.80%
15/08/2025,BTPS10Y,3.619,3.505,3.624,3.5,2.83%
14/08/2025,BTPS10Y,3.52,3.467,3.52,3.452,1.17%
13/08/2025,BTPS10Y,3.479,3.539,3.539,3.477,-2.20%
12/08/2025,BTPS10Y,3.557,3.518,3.584,3.509,1.28%
11/08/2025,BTPS10Y,3.512,3.497,3.519,3.475,0.16%
08/08/2025,BTPS10Y,3.507,3.463,3.521,3.457,1.49%
07/08/2025,BTPS10Y,3.455,3.481,3.49,3.444,-0.76%
06/08/2025,BTPS10Y,3.481,3.47,3.497,3.455,0.78%
05/08/2025,BTPS10Y,3.454,3.455,3.477,3.428,-0.21%
04/08/2025,BTPS10Y,3.461,3.536,3.561,3.461,-2.22%
01/08/2025,BTPS10Y,3.54,3.569,3.594,3.494,0.11%
31/07/2025,BTPS10Y,3.536,3.523,3.547,3.518,-0.48%
30/07/2025,BTPS10Y,3.553,3.547,3.569,3.518,0.57%
29/07/2025,BTPS10Y,3.533,3.532,3.561,3.51,0.03%
28/07/2025,BTPS10Y,3.532,3.565,3.565,3.523,-1.37%
25/07/2025,BTPS10Y,3.581,3.61,3.655,3.58,0.36%
24/07/2025,BTPS10Y,3.568,3.521,3.576,3.513,3.00%
23/07/2025,BTPS10Y,3.464,3.478,3.487,3.452,0.03%
22/07/2025,BTPS10Y,3.463,3.502,3.507,3.456,-0.55%
21/07/2025,BTPS10Y,3.482,3.537,3.543,3.479,-2.63%
18/07/2025,BTPS10Y,3.576,3.581,3.592,3.569,0.34%
17/07/2025,BTPS10Y,3.564,3.592,3.605,3.554,-0.42%
16/07/2025,BTPS10Y,3.579,3.616,3.62,3.56,-0.67%
15/07/2025,BTPS10Y,3.603,3.594,3.609,3.549,-0.47%
14/07/2025,BTPS10Y,3.62,3.608,3.628,3.601,0.47%
11/07/2025,BTPS10Y,3.603,3.587,3.618,3.585,0.33%
10/07/2025,BTPS10Y,3.591,3.537,3.593,3.528,1.13%
09/07/2025,BTPS10Y,3.551,3.553,3.565,3.537,-0.36%
08/07/2025,BTPS10Y,3.564,3.544,3.587,3.544,1.25%
07/07/2025,BTPS10Y,3.52,3.474,3.53,3.474,1.38%
04/07/2025,BTPS10Y,3.472,3.457,3.475,3.446,-0.01%
03/07/2025,BTPS10Y,3.473,3.516,3.526,3.474,-1.70%
02/07/2025,BTPS10Y,3.533,3.496,3.561,3.486,1.70%
01/07/2025,BTPS10Y,3.474,3.477,3.486,3.429,-0.87%
30/06/2025,BTPS10Y,3.504,3.484,3.508,3.472,0.27%
27/06/2025,BTPS10Y,3.494,3.479,3.535,3.478,0.36%
26/06/2025,BTPS10Y,3.482,3.486,3.501,3.461,-0.57%
25/06/2025,BTPS10Y,3.502,3.463,3.535,3.446,0.34%
24/06/2025,BTPS10Y,3.49,3.481,3.533,3.477,-0.43%
23/06/2025,BTPS10Y,3.505,3.569,3.574,3.501,-0.47%
20/06/2025,BTPS10Y,3.522,3.506,3.562,3.503,-0.70%
19/06/2025,BTPS10Y,3.546,3.524,3.553,3.508,2.00%
18/06/2025,BTPS10Y,3.477,3.522,3.543,3.478,-1.12%
17/06/2025,BTPS10Y,3.516,3.511,3.532,3.48,2.02%
16/06/2025,BTPS10Y,3.447,3.51,3.541,3.448,-1.13%
13/06/2025,BTPS10Y,3.487,3.423,3.504,3.421,2.32%
