Date,InstrumentID,Yield,Open,High,Low,Change %,,ISIN,COUPON,COUPON FREQUENCY,MATURITY
30/09/2025,FRTR10Y,3.526,3.535,3.545,3.52,-0.16%,,,,,
29/09/2025,FRTR10Y,3.531,3.557,3.563,3.53,-0.97%,,,,,
26/09/2025,FRTR10Y,3.566,3.592,3.606,3.551,-1.10%,,,,,
25/09/2025,FRTR10Y,3.606,3.577,3.609,3.558,1.07%,,,,,
24/09/2025,FRTR10Y,3.568,3.556,3.58,3.545,0.13%,,,,,
23/09/2025,FRTR10Y,3.563,3.548,3.572,3.544,0.14%,,,,,
22/09/2025,FRTR10Y,3.558,3.558,3.571,3.542,0.04%,,,,,
19/09/2025,FRTR10Y,3.556,3.55,3.56,3.541,0.45%,,,,,
18/09/2025,FRTR10Y,3.54,3.475,3.54,3.469,1.54%,,,,,
17/09/2025,FRTR10Y,3.487,3.487,3.493,3.469,-0.06%,,,,,
16/09/2025,FRTR10Y,3.489,3.492,3.504,3.463,0.11%,,,,,
15/09/2025,FRTR10Y,3.485,3.515,3.516,3.475,-0.48%,,,,,
12/09/2025,FRTR10Y,3.502,3.447,3.512,3.447,1.66%,,,,,
11/09/2025,FRTR10Y,3.445,3.463,3.478,3.422,-0.43%,,,,,
10/09/2025,FRTR10Y,3.46,3.475,3.481,3.459,-0.33%,,,,,
09/09/2025,FRTR10Y,3.471,3.471,3.492,3.461,1.83%,,,,,
08/09/2025,FRTR10Y,3.409,3.447,3.45,3.398,-1.16%,,,,,
05/09/2025,FRTR10Y,3.449,3.474,3.489,3.421,-1.32%,,,,,
04/09/2025,FRTR10Y,3.495,3.542,3.542,3.484,-1.30%,,,,,
03/09/2025,FRTR10Y,3.541,3.579,3.601,3.533,-1.24%,,,,,
02/09/2025,FRTR10Y,3.585,3.561,3.609,3.555,1.39%,,,,,
01/09/2025,FRTR10Y,3.536,3.535,3.543,3.51,0.68%,,,,,
29/08/2025,FRTR10Y,3.512,3.484,3.515,3.474,1.11%,,,,,
28/08/2025,FRTR10Y,3.474,3.496,3.508,3.471,-1.37%,,,,,
27/08/2025,FRTR10Y,3.522,3.49,3.54,3.481,0.65%,,,,,
26/08/2025,FRTR10Y,3.499,3.507,3.53,3.492,-0.05%,,,,,
25/08/2025,FRTR10Y,3.501,3.44,3.503,3.435,2.48%,,,,,
22/08/2025,FRTR10Y,3.416,3.47,3.473,3.411,-1.32%,,,,,
21/08/2025,FRTR10Y,3.462,3.411,3.467,3.404,1.43%,,,,,
20/08/2025,FRTR10Y,3.413,3.43,3.441,3.407,-0.79%,,,,,
19/08/2025,FRTR10Y,3.441,3.454,3.468,3.431,-0.34%,,,,,
18/08/2025,FRTR10Y,3.452,3.462,3.466,3.418,-0.44%,,,,,
15/08/2025,FRTR10Y,3.467,3.372,3.467,3.368,2.75%,,,,,
14/08/2025,FRTR10Y,3.375,3.336,3.375,3.308,1.14%,,,,,
13/08/2025,FRTR10Y,3.336,3.396,3.398,3.332,-2.12%,,,,,
12/08/2025,FRTR10Y,3.408,3.363,3.426,3.358,1.57%,,,,,
11/08/2025,FRTR10Y,3.356,3.335,3.364,3.315,0.23%,,,,,
08/08/2025,FRTR10Y,3.348,3.307,3.362,3.299,1.47%,,,,,
07/08/2025,FRTR10Y,3.3,3.319,3.334,3.286,-0.52%,,,,,
06/08/2025,FRTR10Y,3.317,3.293,3.329,3.292,0.97%,,,,,
05/08/2025,FRTR10Y,3.285,3.283,3.313,3.259,0.04%,,,,,
04/08/2025,FRTR10Y,3.284,3.354,3.371,3.283,-1.98%,,,,,
01/08/2025,FRTR10Y,3.35,3.382,3.405,3.307,0.09%,,,,,
31/07/2025,FRTR10Y,3.347,3.327,3.364,3.327,-0.33%,,,,,
30/07/2025,FRTR10Y,3.358,3.346,3.373,3.33,0.21%,,,,,
29/07/2025,FRTR10Y,3.351,3.357,3.375,3.333,0.09%,,,,,
28/07/2025,FRTR10Y,3.348,3.378,3.382,3.339,-1.09%,,,,,
25/07/2025,FRTR10Y,3.385,3.398,3.443,3.385,0.36%,,,,,
24/07/2025,FRTR10Y,3.373,3.327,3.377,3.322,3.06%,,,,,
23/07/2025,FRTR10Y,3.273,3.284,3.294,3.263,0.25%,,,,,
22/07/2025,FRTR10Y,3.265,3.306,3.319,3.257,-0.97%,,,,,
21/07/2025,FRTR10Y,3.297,3.364,3.365,3.288,-2.92%,,,,,
18/07/2025,FRTR10Y,3.396,3.393,3.407,3.387,0.41%,,,,,
17/07/2025,FRTR10Y,3.382,3.391,3.416,3.37,-0.06%,,,,,
16/07/2025,FRTR10Y,3.384,3.402,3.422,3.371,-0.70%,,,,,
15/07/2025,FRTR10Y,3.408,3.418,3.426,3.365,-0.73%,,,,,
14/07/2025,FRTR10Y,3.433,3.409,3.442,3.408,0.50%,,,,,
11/07/2025,FRTR10Y,3.416,3.381,3.423,3.378,0.41%,,,,,
10/07/2025,FRTR10Y,3.402,3.349,3.403,3.339,1.31%,,,,,
09/07/2025,FRTR10Y,3.358,3.358,3.366,3.341,-0.15%,,,,,
08/07/2025,FRTR10Y,3.363,3.33,3.386,3.33,1.23%,,,,,
07/07/2025,FRTR10Y,3.322,3.269,3.327,3.262,1.31%,,,,,
04/07/2025,FRTR10Y,3.279,3.264,3.283,3.244,0.15%,,,,,
03/07/2025,FRTR10Y,3.274,3.316,3.319,3.273,-1.27%,,,,,
02/07/2025,FRTR10Y,3.316,3.254,3.335,3.25,1.97%,,,,,
01/07/2025,FRTR10Y,3.252,3.26,3.264,3.22,-1.09%,,,,,
30/06/2025,FRTR10Y,3.288,3.261,3.29,3.246,0.77%,,,,,
27/06/2025,FRTR10Y,3.263,3.236,3.295,3.231,0.55%,,,,,
26/06/2025,FRTR10Y,3.245,3.232,3.258,3.224,-0.32%,,,,,
25/06/2025,FRTR10Y,3.256,3.229,3.278,3.196,0.20%,,,,,
24/06/2025,FRTR10Y,3.249,3.218,3.283,3.213,0.68%,,,,,
23/06/2025,FRTR10Y,3.227,3.291,3.292,3.22,-0.49%,,,,,
20/06/2025,FRTR10Y,3.243,3.235,3.273,3.231,-0.89%,,,,,
19/06/2025,FRTR10Y,3.272,3.255,3.274,3.24,1.77%,,,,,
18/06/2025,FRTR10Y,3.215,3.248,3.27,3.212,-1.11%,,,,,
17/06/2025,FRTR10Y,3.251,3.264,3.272,3.217,0.71%,,,,,
16/06/2025,FRTR10Y,3.228,3.257,3.303,3.216,-0.86%,,,,,
13/06/2025,FRTR10Y,3.256,3.161,3.26,3.161,2.28%,,,,,
12/06/2025,FRTR10Y,3.184,3.221,3.223,3.177,-1.41%,,,,,
11/06/2025,FRTR10Y,3.229,3.218,3.239,3.196,0.69%,,,,,
10/06/2025,FRTR10Y,3.207,3.235,3.24,3.195,-0.93%,,,,,
09/06/2025,FRTR10Y,3.237,3.238,3.272,3.176,-0.11%,,,,,
